country	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
TR																																								0.0604 	0.0691 	0.0863 	0.0801 	0.0824 	0.0913 	0.0931 	0.0878 	0.0839 	0.0943 	0.1022 	0.0970 	0.0845 	0.0754 	0.0798 	0.0809 	0.0806 	0.0765 	0.0764 	0.0659 	0.0592 	0.0579 	0.0619 	0.0762 	0.0856 	0.0871 	0.0641 	0.0745 	0.0700 
BG																																	0.0486 	0.0486 	0.0491 	0.0486 	0.0547 	0.0542 	0.0557 	0.0639 	0.0680 	0.0762 	0.0772 	0.0762 	0.0772 	0.0776 	0.0775 	0.0826 	0.0842 	0.0943 	0.1044 	0.0983 	0.0944 	0.0956 	0.1003 	0.1143 	0.1030 	0.1082 	0.1065 	0.1124 	0.1043 	0.1098 	0.1050 	0.1033 	0.0973 	0.1054 	0.1011 	0.1814 
SK																																	0.1208 	0.1233 	0.1060 	0.1049 	0.1326 	0.1233 	0.1427 	0.1488 	0.1722 	0.1790 	0.2161 	0.2173 	0.1913 	0.1966 	0.1955 	0.1977 	0.2065 	0.1958 	0.2019 	0.1963 	0.1921 	0.1998 	0.2061 	0.2007 	0.2006 	0.1916 	0.1538 	0.1462 	0.1578 	0.1656 	0.1728 	0.1763 	0.1875 	0.1882 	0.1825 	0.1895 
AT																																	0.0951 	0.0955 	0.1039 	0.0942 	0.0911 	0.0918 	0.1024 	0.1084 	0.1078 	0.1157 	0.1340 	0.1358 	0.1282 	0.1314 	0.1273 	0.1318 	0.1255 	0.1263 	0.1282 	0.1312 	0.1288 	0.1179 	0.1149 	0.1206 	0.1169 	0.1157 	0.1154 	0.1188 	0.1205 	0.1231 	0.1284 	0.1243 	0.1212 	0.1313 	0.1342 	0.1452 
UK																0.0939 		0.0969 	0.1098 	0.1114 	0.1132 	0.1086 	0.1061 	0.1076 	0.1087 	0.1099 	0.1087 	0.1060 	0.0861 	0.0752 	0.0708 	0.0628 	0.0650 	0.0646 	0.0730 	0.0771 	0.0945 	0.1073 	0.1157 		0.1266 	0.1312 	0.1321 	0.1344 	0.1376 	0.1423 	0.1289 	0.1435 	0.1470 	0.1554 	0.1417 	0.1589 	0.1619 	0.1726 	0.1509 	0.1466 	0.1282 	0.1143 	0.1301 	0.1271 	0.1361 	0.1426 	0.1360 	0.1432 	0.1444 			
ES																																			0.1039 	0.1039 	0.1085 	0.1093 	0.1138 	0.1067 	0.1305 	0.1310 	0.1575 	0.1684 	0.1723 	0.1782 	0.1635 	0.1918 	0.1951 	0.2036 	0.2227 	0.2380 	0.2611 	0.2782 	0.2596 	0.2566 	0.2357 	0.2354 	0.2441 	0.1983 	0.2713 	0.2326 	0.1755 d	0.1824 	0.1703 	0.1702 	0.1805 	0.1666 
PL																										0.0716 	0.0777 	0.0912 	0.0918 	0.0812 	0.0845 		0.0696 	0.0744 	0.0813 	0.0800 	0.0868 	0.0841 	0.0850 	0.0892 	0.1309 	0.1421 	0.1297 	0.1407 	0.1456 	0.1575 	0.1541 	0.1492 	0.1616 	0.1588 	0.1500 	0.1422 	0.1454 	0.1464 	0.1482 	0.1467 	0.1357 	0.1343 	0.1274 	0.1300 	0.1174 	0.1156 	0.1179 	0.1182 	0.1309 	0.1376 	0.1334 	0.1332 
RO																															0.0612 	0.0545 	0.0627 	0.0692 	0.0907 	0.1010 	0.0971 	0.1001 	0.1009 	0.1161 	0.1081 	0.1128 	0.1006 	0.1020 	0.1072 	0.1056 	0.1056 	0.1044 	0.1032 	0.1028 	0.1176 	0.1113 	0.1026 	0.0968 	0.0988 	0.0975 	0.0918 	0.0873 	0.0826 	0.0847 	0.0896 	0.0921 	0.0962 	0.1000 	0.1129 	0.1060 	0.1049 	0.1243 
HR																																			0.0676 	0.0698 	0.0718 	0.0731 	0.0719 		0.0935 	0.1114 	0.1084 	0.1137 	0.1164 	0.1154 	0.1145 	0.1123 	0.1164 	0.1296 	0.1259 	0.1250 	0.1248 	0.1216 	0.1172 	0.1173 	0.1189 	0.1186 	0.1176 	0.1072 	0.1164 	0.1182 	0.1279 	0.1325 	0.1310 	0.1256 	0.1265 	0.1426 
IE																													0.1297 					0.1329 	0.1451 	0.1451 	0.1562 	0.1562 	0.1755 	0.1755 	0.1477 	0.1753 	0.1776 	0.1683 	0.1564 	0.1702 	0.1648 	0.1831 	0.1799 	0.1878 	0.1844 	0.1786 	0.1729 	0.1732 	0.1715 	0.1694 	0.1619 	0.1600 	0.1563 	0.1605 	0.1632 	0.1772 	0.1917 	0.1923 	0.1997 	0.1996 	0.2089 	0.2296 
NL																									0.1244 	0.1175 	0.1150 	0.1187 							0.1100 	0.1102 	0.1174 	0.1265 p	0.1341 		0.1201 	0.1238 	0.1226 	0.1169 	0.1123 	0.1145 	0.1056 	0.1130 	0.1161 	0.1168 	0.1111 	0.1150 	0.1242 	0.1170 	0.1327 	0.1274 	0.1015 	0.1125 	0.1251 	: u	: u	: u	: u	: u	: u	: u	: u	: u
EE																															0.0561 		0.0561 	0.0566 	0.0566 	0.0595 	0.0611 	0.0621 	0.0621 	0.0620 	0.0657 	0.0702 	0.0754 	0.0744 	0.0702 	0.0735 	0.0692 	0.0679 	0.0694 	0.0735 	0.0983 	0.1053 	0.0965 	0.0991 	0.0936 	0.0944 	0.0902 	0.0950 	0.0927 	0.1001 	0.1008 	0.1109 	0.1051 	0.1082 	0.1012 	0.0980 	0.1156 	0.1740 
DE																																	0.1525 	0.1604 	0.1662 	0.1680 	0.1757 	0.1774 	0.1659 		0.1525 	0.1585 	0.1626 	0.1636 	0.1604 	0.1603 	0.1616 	0.1698 	0.1660 	0.1655 	0.1625 	0.1513 	0.1423 	0.1403 	0.1349 	0.1334 	0.1287 	0.1252 	0.1203 	0.1210 	0.1319 	0.1310 	0.1348 	0.1207 	0.1346 	0.1369 	0.1402 	0.1444 
SE																	0.0686 	0.0706 	0.0721 	0.0721 	0.0694 	0.0671 	0.0621 	0.0595 	0.0556 	0.0536 	0.0401 	0.0406 	0.0361 	0.0354 	0.0705 	0.0463 	0.0693 	0.0717 	0.0697 	0.0704 	0.0825 	0.0948 	0.0894 		0.1107 	0.1183 	0.1134 	0.1161 	0.1332 	0.1472 	0.1600 	0.1476 	0.1651 	0.1793 	0.1484 	0.1464 	0.1412 	0.1325 	0.1306 	0.1402 	0.1244 	0.1456 	0.1348 	0.1411 	0.1337 	0.1672 	0.1438 	0.1452 	0.1218 e	0.1605 	0.1254 e	0.1781 
LV																																	0.0513 	0.0679 	0.0643 	0.0644 	0.0644 	0.0672 	0.0670 	0.0770 	0.0889 	0.1006 	0.1148 	0.1161 	0.1152 	0.1162 	0.1263 	0.1436 	0.1422 	0.1202 	0.1264 	0.1191 	0.1270 	0.1266 	0.1355 	0.1348 	0.1262 	0.1560 	0.1564 	0.1568 	0.1437 	0.1435 	0.1447 	0.1549 	0.1461 	0.1510 	0.1533 	0.1882 
