country	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
HU									0.0414	0.0388	0.0487	0.0460	0.0326	0.0300	0.0470	0.0382	0.0382	0.0360	0.0555	0.0571	0.0602	0.0565	0.0670	0.0747	0.0777	0.0761	0.0792	0.0844	0.0902	0.0892	0.0915	0.0899	0.0972	0.1028	0.1043	0.1087	0.1069	0.0966	0.1190	0.1280	0.1333	0.1311	0.1167	0.1443	0.1567	0.1413	0.1500	0.1394	0.1294	0.1359	0.1199	0.1155	0.1078	0.1045	0.1008	0.1015	0.0994	0.1010	0.1003	0.1021	0.0931	0.0912	0.0915	0.0902	0.0831	0.0824	0.0802	0.0825
PT																																			0.1350	0.1350	0.1380	0.1380	0.1460	0.1460	0.2683	0.2710	0.2870	0.2872	0.2266	0.2104	0.1912	0.1947	0.2245	0.1995	0.1684	0.1806	0.2218	0.2192	0.1822	0.1867	0.1871	0.1940	0.1730	0.1728	0.1570	0.1564	0.1954	0.2005	0.2024	0.2014	0.2176	0.2266
ES																																			0.1152	0.1152	0.1203	0.1213	0.1237	0.1237	0.2455	0.2622	0.2540	0.2611	0.3174	0.2926	0.2890	0.3044	0.2755	0.2930	0.2920	0.3164	0.3742	0.3667	0.3988	0.4163	0.4100	0.3965	0.4509	0.4479	0.4680	0.4485	0.3595	0.3013	0.3546	0.3426	0.3415	0.3022
DE																																	0.2061	0.2029	0.2166	0.2188	0.2225	0.2262	0.2276		0.2349	0.2408	0.2498	0.2413	0.2446	0.2472	0.2478	0.2464	0.2516	0.2546	0.2595	0.2603	0.2563	0.2576	0.2611	0.2609	0.2659	0.2651	0.2770	0.2759	0.2836	0.2840	0.3048	0.2733	0.2851	0.2638	0.2725	0.2852
LU	0.1714	0.1732	0.1819	0.1827	0.1842	0.1923	0.1856	0.1871	0.1898	0.1917	0.2021	0.2044	0.2059	0.2106	0.2135	0.2184	0.2181	0.2173	0.2145	0.2110	0.2122	0.2127	0.2155	0.2146	0.2114	0.2098	0.2045	0.2075	0.2092	0.2097	0.2169	0.2169	0.2210	0.2216	0.2397	0.2529	0.2673	0.2673	0.2752		0.2167	0.2188	0.2369	0.2411	0.2126	0.2142	0.2219	0.2191	0.2219	0.2159	0.2130	0.1997	0.2015	0.2015	0.1915	0.1915	0.1911	0.1911	0.2151	0.2176	0.2433	0.2538	0.2865	0.2856	0.2913	0.2955	0.2754	0.2745
AT																																	0.1423	0.1423	0.1433	0.1404	0.1220	0.1425	0.1520	0.1578	0.1812	0.1812	0.1874	0.1874	0.1746	0.1772	0.2055	0.2050	0.2075	0.2050	0.2140	0.2083	0.2078	0.2062	0.2064	0.2042	0.2104	0.2098	0.2134	0.2061	0.2105	0.2098	0.2259	0.2304	0.2413	0.2376	0.2500	0.2640
IE																																		0.2039	0.2447	0.2447	0.2657	0.2657	0.3056	0.3056	0.3919	0.4298	0.3815	0.3667	0.3555	0.3703	0.3148	0.3974	0.4443	0.4771	0.4813	0.5013	0.4882	0.4920	0.4906	0.3499	0.3044	0.3218	0.2994	0.2971	0.2670	0.2807	0.2899	0.3280	0.2778	0.3171	0.3520	0.3225
UK																								0.1849	0.2034	0.1905	0.1826	0.1891	0.1846	0.1785	0.1735	0.1590	0.1452	0.1175	0.1208	0.1265	0.1332	0.1508	0.1758	0.1643	0.1523	0.1603	0.1499	0.1658	0.1400	0.1498	0.1451	0.1658	0.1734	0.1924	0.1935	0.2126	0.2289	0.2383	0.2124	0.2211	0.2002	0.2225	0.1994	0.1967	0.1944	0.2028	0.2086	0.2311	0.2096			
PL																										0.0800	0.0858	0.0962	0.1048	0.0921	0.1003	0.0955	0.0899	0.0948	0.1077	0.1072	0.1192	0.1140	0.1180	0.1215	0.1370	0.1367	0.1141	0.1258	0.1367	0.1413	0.1485	0.1403	0.1414	0.1480	0.1480	0.1434	0.1452	0.1411	0.1444	0.1408	0.1256	0.1316	0.1278	0.1292	0.1131	0.1194	0.1232	0.1229	0.1272	0.1375	0.1344	0.1312
HR																																			0.1126	0.1163	0.1220	0.1241	0.1221		0.1596	0.1713	0.1707	0.1507	0.1543	0.1485	0.1475	0.1560	0.1786	0.1842	0.1902	0.1720	0.1783	0.1628	0.1679	0.1591	0.1766	0.1625	0.1754	0.1655	0.1785	0.1715	0.1790	0.1659	0.1703	0.1761	0.1652	0.1618
EE																													0.0487		0.0623		0.0623	0.0716	0.0713	0.0738	0.0759	0.0768	0.0768	0.0767	0.0659	0.0688	0.0732	0.0718	0.0713	0.0733	0.0733	0.0785	0.0808	0.0818	0.1055	0.1041	0.1000	0.1023	0.0988	0.0972	0.0955	0.0992	0.0940	0.0993	0.1147	0.1193	0.1221	0.1212	0.1154	0.1216	0.1295	0.1637
