country	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1990-S2 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
PT																														17.0100	16.3900	17.4400	17.4100	17.9200		18.7600	19.4170	20.3900	20.7800	20.9200	21.1440	21.4470	21.4060	20.8700	20.5394	19.5260	21.4980	20.3300	22.6900	21.1700	24.0900	22.9900	25.0000	24.2700	26.8400	25.4600	25.3600	23.5000	21.5400	19.3800	20.1628	19.3575	20.3582	19.4391	19.9916	19.2770	19.1213	18.4701	19.4511
ES																																				14.6907	14.8500	16.1500	16.4700	17.0169	16.6743	16.9400	18.6810	17.6400	16.4181	16.3107	16.1584	16.1200	16.1700	19.1000	24.5300	20.0100	24.6000	21.2600	27.3800	20.5300	26.5000	19.1100	24.4300	18.6500	25.9546	19.4699	25.7334	19.7425	25.1231	19.4702	25.2310	19.5079	29.4351
DE	15.8976	16.3568	13.9307	12.9754	12.4896	13.6089		12.7537	12.9774	13.0168	12.7642	15.0601	15.2029	15.2757	15.4052	15.4531	15.8098	15.4388	15.0615	15.3007	15.1050	14.8901	14.6817	14.6229	14.1832	14.8837	15.9421	17.4862	17.9463	17.7800	17.3100	17.4100	17.5580	17.5560	17.5300	19.3800	19.0700	20.9600	21.8900	22.4400	21.7800	19.6300	22.9700	21.0700	19.7000	18.9700	21.4100	21.6300	22.1600	21.9400	22.2200	22.6100	23.6300	23.5900	22.4900	23.0700	22.4200	23.1500	21.4100	21.9100	21.3570	21.4640	21.5537	22.8042	16.4381	17.3735	17.8137	16.0853	17.9703
LU																																				14.2990	14.9100	16.3646	16.7900	20.8923	19.9369	12.8800	16.7900	19.0800	18.3800	12.5700	13.8200	17.1300	18.3900	14.2600	18.0800	20.6000	16.2900	17.5600	15.9400	14.7000	14.6000	12.9000	11.8700	11.1900	10.5736	10.7406	11.1819	11.8192	11.0575	11.1534	9.8063	10.4873	14.3943
AT																																		15.2800	15.0300	15.0300	15.3800	17.0400	17.0400	17.4300	17.4300	15.1300	15.4800	16.0200	15.4000	15.3900	15.0700	17.2600	17.9700	18.9200	19.0300	19.0000	18.7100	18.6900	18.3300	18.3300	17.9400	17.7800	17.4100	17.9400	22.6218	20.1888	21.6528	19.9167	21.4444	20.2438	21.0833	20.0611	21.9938
IE																																		18.9100	18.9070	20.9700	20.9700	26.2600	26.2640	35.1420	31.6280	16.7600	17.3600	16.9100	15.4800	13.3500	13.9000	12.9100	16.8100	15.8300	18.0200	16.5500	20.7700	17.5700	21.0100	17.2700	20.6500	16.8300	19.2700	16.4200	18.6747	15.9616	22.0056	16.8650	21.2555	17.4008	19.4635	15.8770	22.9367
UK								12.3244	12.6231	12.3216	12.0977	10.7099	11.1390	11.3480	10.7143	11.0491	10.2825	10.2126	10.4931	11.6477	12.6784	12.4951	12.6412	11.5520	12.2836	12.9217	10.0154	9.9244	10.7301	10.6554	10.4274	10.1505	9.6367	10.5180	8.0810	8.6736	8.9447	9.7816	11.6455	14.1089	12.7372	11.7290	13.4520	12.6314	12.5577	12.1231	12.5767	12.8527	15.7245	15.7012	17.9495	15.9138	20.3979	21.1131	25.6619	21.5923	25.3026	19.6641	21.3287	16.2909	18.1035	15.3733	19.5145	17.5505	21.7381	18.1080			
PL																											5.7614	6.0506	7.4397	7.4912	6.9762	7.0067		6.3741	6.7277	7.5501	7.9320	9.3244	10.2072	11.0117	11.3370	12.6079	14.7528	11.8108	12.5867	12.9560	13.6170	14.0483	13.3319	13.4520	15.9245	15.0491	13.2978	14.1160	14.6031	14.6433	13.5269	12.8343	11.9000	12.0979	11.7412	12.1962	11.8583	11.8682	11.8837	11.0597	10.4675	9.6282	11.0388
HR																																				6.2747	6.4811	6.4211	6.5330	6.4264		5.9103	6.3143	7.2634	7.4170	8.6454	8.5682	8.4758	8.3959	8.5795	10.1678	10.4383	10.5042	10.6945	11.9399	12.2874	12.2137	11.4274	10.1851	9.7810	10.2480	10.1209	10.2076	10.2662	11.1948	10.2265	10.5527	9.5326	9.7437
EE																																6.8203		6.8202	6.8104	6.8175	6.8175	6.8168	6.8123	7.9909	9.4960	8.9441	9.3427	9.3048	8.3092	8.4383	11.2626	11.5700	13.1300	12.8000	14.0400	14.9000	13.0700	12.9800	12.1000	11.9000	8.9200	7.8000	7.5400	10.6300	10.6129	9.5508	10.0992	10.3949	10.3331	10.1028	10.0492	10.5796	13.9167
