freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
S,4100,4141903,GJ_GCV,X_VAT,PPS,LU	: 	7.9076 	8.8015 	10.8014 	9.9186 	8.7078 	9.5996 	10.3693 	10.4009 	11.8855 	12.7088 	13.0390 	13.4627 	12.2995 	11.5843 	11.4333 	10.6280 	10.2527 	9.8584 	9.0922 	8.4268 	8.2039 	8.3558 	8.7199 	8.9899 	8.2232 	8.1458 	6.9872 	8.6906 	12.5401 
S,4100,4141903,GJ_GCV,X_VAT,PPS,LV	: 	10.9366 	11.4039 	18.1156 	18.9521 	13.9232 	12.0465 	15.4576 	14.0997 	15.4758 	16.9555 	18.6219 	16.6671 	16.6054 	16.1270 	16.0249 	16.5644 	16.4746 	14.6152 	14.0582 	12.2590 	12.7562 	12.1929 	14.2376 	13.7021 	10.7413 	9.8174 	8.5098 	9.3111 	14.8052 
S,4100,4141903,GJ_GCV,X_VAT,PPS,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.7084 	: 	: 	0.0000 	: 	: 	0.0000 	: 
S,4100,4141903,GJ_GCV,X_VAT,PPS,NL	14.3443 	: 	: 	: 	15.4193 	12.2013 	12.7299 	13.0533 	13.6200 	14.9011 	14.5336 	15.5554 	16.0458 	16.2468 	15.1760 	15.3588 	14.7293 	14.6925 	15.0888 	15.1514 	13.5996 	: u	: u	: u	: u	: u	: u	: u	: u	: u
S,4100,4141903,GJ_GCV,X_VAT,PPS,PL	: 	13.7355 	13.0952 	15.7167 	15.3224 	15.7137 	15.0796 	17.0253 	15.7716 	18.3851 	18.0830 	20.3092 	17.8092 	19.4923 	18.6993 	18.7530 	19.1496 	19.1111 	15.2834 	15.9561 	14.1092 	14.8682 	14.7421 	16.1977 	18.1808 	17.4861 	16.9703 	17.3462 	15.6391 	21.0601 
S,4100,4141903,GJ_GCV,X_VAT,PPS,PT	: 	17.3914 	17.8766 	18.3916 	15.8339 	16.7253 	15.6400 	17.3174 	17.4520 	18.5116 	18.4725 	20.7564 	21.8400 	23.9432 	25.0415 	26.8155 	27.3939 	25.8079 	25.7790 	21.7912 	19.7891 	19.6147 	19.3830 	19.1933 	19.2379 	19.6087 	20.1998 	19.9535 	19.4497 	19.3313 
S,4100,4141903,GJ_GCV,X_VAT,PPS,RO	: 	14.0363 	13.7516 	13.8397 	13.4114 	12.3577 	12.5029 	12.4976 	12.3464 	12.2801 	12.2590 	12.8004 	12.4304 	13.5510 	13.2087 	13.3050 	13.0599 	14.4170 	14.4990 	14.2667 	13.1385 e	13.4498 e	13.6187 e	15.2284 e	14.9285 e	14.4176 	14.2176 e	13.1595 	13.5904 e	20.7308 e
S,4100,4141903,GJ_GCV,X_VAT,PPS,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.9409 	22.5010 	21.3787 	22.5123 	24.7451 	22.0367 	20.6064 	17.8412 	16.3226 	16.3654 	16.0908 	16.1008 	15.7960 	15.9049 	15.9534 	15.9726 	15.8889 	15.6486 
S,4100,4141903,GJ_GCV,X_VAT,PPS,SE	16.5320 	16.6224 	16.6388 	18.9682 	16.6616 	16.9122 	17.6296 	17.0764 	18.3665 	18.4390 	18.0861 	19.6119 	18.7964 	17.9870 	18.1319 	17.2424 	18.1023 	18.1963 	17.5353 	18.7403 	18.4198 	16.9369 	17.9245 	21.5973 	20.2039 	20.2039 	13.2936 e	17.5454 e	17.7678 e	60.0694 e
S,4100,4141903,GJ_GCV,X_VAT,PPS,SI	: 	14.4669 	14.8521 	19.1255 	17.5664 	13.7963 	15.6712 	17.4372 	16.1720 	19.3800 	19.3893 	20.2420 	19.1150 	18.8791 	17.9151 	20.7800 	17.4522 	16.6944 	15.9253 	14.7066 	13.4895 	12.7035 	13.6066 	13.4457 	14.7253 	14.4273 	14.4204 	13.1587 	12.7341 	14.2300 
